source_vector,reference_type,reference_name,cosine_similarity,cosine_distance,euclidean_distance,l1_distance,dot_product
DJI_20240313112706_0003_V_frame93010_features,individual,0000205_02019_d_00002014_features,0.8065665,0.1934334,17.69572639465332,559.5283,652.4628
DJI_20240313112706_0003_V_frame93010_features,individual,0000205_02019_d_000020154_features,0.7396363,0.2603637,20.577505111694336,619.96796,601.3208
DJI_20240313112706_0003_V_frame93010_features,individual,0000205_02019_d_000020157_features,0.59727764,0.4027223,23.790664672851562,697.8856,398.05145
DJI_20240313112706_0003_V_frame93010_features,individual,0000205_02019_d_00002015_features,0.7584171,0.24158275,19.41192054748535,594.2118,587.26953
DJI_20240313112706_0003_V_frame93010_features,individual,0000205_02019_d_00002016_features,0.79504365,0.20495635,19.35053253173828,604.5696,712.86255
DJI_20240313112706_0003_V_frame93010_features,individual,0000205_02019_d_00002017_features,0.6555433,0.34445673,23.018930435180664,706.5416,500.2825
DJI_20240313112706_0003_V_frame93010_features,individual,0000205_02019_d_00002018_features,0.70466256,0.29533744,22.869043350219727,718.80194,619.1499
DJI_20240313112706_0003_V_frame93010_features,individual,0000205_02019_d_00002019_features,0.7654396,0.23456043,19.831581115722656,619.4082,641.18365
DJI_20240313112706_0003_V_frame93010_features,individual,0000205_02315_d_000020211_features,0.74814856,0.2518515,19.7394962310791,595.90796,573.2484
DJI_20240313112706_0003_V_frame93010_features,individual,0000205_02315_d_000020212_features,0.8051629,0.19483703,17.64165496826172,546.5377,641.5596
DJI_20240313112706_0003_V_frame93010_features,individual,0000205_02315_d_000020213_features,0.74164224,0.2583577,20.616811752319336,643.84326,610.07605
DJI_20240313112706_0003_V_frame93010_features,individual,0000205_02315_d_000020214_features,0.73177356,0.2682264,21.808982849121094,688.2188,643.27466
DJI_20240313112706_0003_V_frame93010_features,individual,0000205_02315_d_000020215_features,0.7936196,0.20638031,20.445646286010742,611.92804,760.14075
DJI_20240313112706_0003_V_frame93010_features,individual,0000205_02315_d_000020216_features,0.69435555,0.3056444,24.890501022338867,771.17737,673.29694
DJI_20240313112706_0003_V_frame93010_features,individual,0000205_02315_d_000020217_features,0.7434968,0.2565034,20.728412628173828,630.64136,622.28235
DJI_20240313112706_0003_V_frame93010_features,individual,0000205_02315_d_000020218_features,0.8142843,0.18571556,16.75347900390625,514.2883,590.89264
DJI_20240313112706_0003_V_frame93010_features,individual,0000205_02315_d_000020219_features,0.7379293,0.2620706,20.595062255859375,618.0249,596.89636
DJI_20240313112706_0003_V_frame93010_features,individual,0000205_02315_d_000020220_features,0.73402584,0.26597428,20.78403663635254,630.8307,595.9246
DJI_20240313112706_0003_V_frame93010_features,individual,0000205_02315_d_000020221_features,0.7116907,0.28830922,21.493024826049805,649.42065,569.48926
